lat,lon,PSurf_Winter,Qair_Winter,Rainf_Winter,Snowf_Winter,Tair_Winter,Wind_Winter,PSurf_Spring,Qair_Spring,Rainf_Spring,Tair_Spring,Wind_Spring,PSurf_Summer,Qair_Summer,Rainf_Summer,Tair_Summer,Wind_Summer,PSurf_Fall,Qair_Fall,Rainf_Fall,Tair_Fall,Wind_Fall,index_right,sand % topsoil,sand % subsoil,silt % topsoil,silt% subsoil,clay % topsoil,clay % subsoil,pH water topsoil,pH water subsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,BS % topsoil,BS % subsoil,CEC topsoil,CEC subsoil,CEC Clay subsoil,CaCO3 % topsoil,CaCO3 % subsoil,BD topsoil,BD subsoil,C/N topsoil,C/N subsoil
[24.250000 ; 25.750000 [,[-3.250000 ; -1.250000 [,[0.588773 ; 0.646369 [,[0.515340 ; 0.557140 [,[0.000000 ; 0.039293 [,[ 0.0],[0.727467 ; 0.811496 [,[0.821746 ; 1.000000 ],[0.564271 ; 0.630369 [,[0.355617 ; 0.414924 [,[0.000000 ; 0.000377 [,[0.806112 ; 0.863011 [,[0.617639 ; 0.671039 [,[0.597635 ; 0.659261 [,[0.161560 ; 0.195514 [,[0.000000 ; 0.056241 [,[0.839594 ; 0.919832 [,[0.638708 ; 0.736214 [,[0.580902 ; 0.643347 [,[0.364123 ; 0.420353 [,[0.000000 ; 0.051127 [,[0.769898 ; 0.849612 [,[0.646506 ; 0.710941 [,[0.546075 ; 0.686007 [,[0.306771 ; 0.424063 [,[0.295671 ; 0.422809 [,[0.245833 ; 0.318519 [,[0.280899 ; 0.341377 [,[0.206536 ; 0.302671 [,[0.212364 ; 0.318546 [,[0.384216 ; 0.743510 [,[0.386598 ; 0.760825 [,[0.288822 ; 0.330258 [,[0.238544 ; 0.309973 [,[0.268595 ; 0.330579 [,[0.242718 ; 0.364078 [,[0.437500 ; 0.845000 [,[0.465000 ; 0.915000 [,[0.000000 ; 0.139857 [,[0.031395 ; 0.367442 [,[0.000000 ; 0.336909 [,[0.041322 ; 0.202479 [,[0.011970 ; 0.170041 [,[0.000000 ; 0.363636 [,[0.355556 ; 0.422862 [,[0.258065 ; 0.419355 [,[0.000000 ; 0.121951 [
[24.250000 ; 25.750000 [,[-3.250000 ; -1.250000 [,[0.646369 ; 0.694463 [,[0.557140 ; 0.609879 [,[0.000000 ; 0.039293 [,[ 0.0],[0.727467 ; 0.811496 [,[0.763758 ; 0.821746 [,[0.630369 ; 0.681579 [,[0.434941 ; 0.510800 [,[0.000000 ; 0.000377 [,[0.806112 ; 0.863011 [,[0.538630 ; 0.576720 [,[0.659261 ; 0.722443 [,[0.195514 ; 0.245873 [,[0.000000 ; 0.056241 [,[0.919832 ; 1.000000 ],[0.576474 ; 0.638708 [,[0.643347 ; 0.690579 [,[0.420353 ; 0.454344 [,[0.000000 ; 0.051127 [,[0.769898 ; 0.849612 [,[0.597759 ; 0.646506 [,[0.522184 ; 0.535836 [,[0.000000 ; 0.254167 [,[0.000000 ; 0.263464 [,[0.000000 ; 0.229815 [,[0.000000 ; 0.251331 [,[0.000000 ; 0.205292 [,[0.000000 ; 0.176577 [,[0.000000 ; 0.363448 [,[0.000000 ; 0.368557 [,[0.000000 ; 0.182103 [,[0.000000 ; 0.238544 [,[0.000000 ; 0.095041 [,[0.000000 ; 0.097087 [,[0.000000 ; 0.392500 [,[0.000000 ; 0.447500 [,[0.172197 ; 0.417892 [,[0.367442 ; 0.455814 [,[0.390244 ; 0.530488 [,[0.000000 ; 0.004132 [,[0.000000 ; 0.011400 [,[0.000000 ; 0.363636 [,[0.222222 ; 0.355556 [,[0.258065 ; 0.419355 [,[0.000000 ; 0.121951 [
[24.250000 ; 25.750000 [,[-3.250000 ; -1.250000 [,[0.646369 ; 0.694463 [,[0.515340 ; 0.557140 [,[0.000000 ; 0.039293 [,[ 0.0],[0.727467 ; 0.811496 [,[0.763758 ; 0.821746 [,[0.630369 ; 0.681579 [,[0.414924 ; 0.434941 [,[0.000000 ; 0.000377 [,[0.806112 ; 0.863011 [,[0.538630 ; 0.576720 [,[0.659261 ; 0.722443 [,[0.195514 ; 0.245873 [,[0.000000 ; 0.056241 [,[0.919832 ; 1.000000 ],[0.638708 ; 0.736214 [,[0.643347 ; 0.690579 [,[0.420353 ; 0.454344 [,[0.000000 ; 0.051127 [,[0.769898 ; 0.849612 [,[0.597759 ; 0.646506 [,[0.522184 ; 0.535836 [,[0.000000 ; 0.254167 [,[0.000000 ; 0.263464 [,[0.000000 ; 0.229815 [,[0.000000 ; 0.251331 [,[0.000000 ; 0.205292 [,[0.000000 ; 0.176577 [,[0.000000 ; 0.363448 [,[0.000000 ; 0.368557 [,[0.000000 ; 0.182103 [,[0.000000 ; 0.238544 [,[0.000000 ; 0.095041 [,[0.000000 ; 0.097087 [,[0.000000 ; 0.392500 [,[0.000000 ; 0.447500 [,[0.172197 ; 0.417892 [,[0.367442 ; 0.455814 [,[0.390244 ; 0.530488 [,[0.000000 ; 0.004132 [,[0.000000 ; 0.011400 [,[0.000000 ; 0.363636 [,[0.222222 ; 0.355556 [,[0.258065 ; 0.419355 [,[0.000000 ; 0.121951 [
[24.250000 ; 25.750000 [,[-1.250000 ; 0.250000 [,[0.646369 ; 0.694463 [,[0.515340 ; 0.557140 [,[0.000000 ; 0.039293 [,[ 0.0],[0.727467 ; 0.811496 [,[0.694770 ; 0.763758 [,[0.630369 ; 0.681579 [,[0.355617 ; 0.414924 [,[0.000000 ; 0.000377 [,[0.863011 ; 1.000000 ],[0.538630 ; 0.576720 [,[0.659261 ; 0.722443 [,[0.195514 ; 0.245873 [,[0.000000 ; 0.056241 [,[0.919832 ; 1.000000 ],[0.638708 ; 0.736214 [,[0.643347 ; 0.690579 [,[0.420353 ; 0.454344 [,[0.000000 ; 0.051127 [,[0.769898 ; 0.849612 [,[0.560464 ; 0.597759 [,[0.535836 ; 0.546075 [,[0.424063 ; 0.469583 [,[0.422809 ; 0.446146 [,[0.430185 ; 0.537222 [,[0.487680 ; 0.604770 [,[0.413404 ; 0.430989 [,[0.403964 ; 0.421740 [,[0.743510 ; 0.788162 [,[0.793814 ; 0.796907 [,[0.357934 ; 0.363838 [,[0.522911 ; 0.654987 [,[0.388430 ; 0.429752 [,[0.582524 ; 0.776699 [,[0.918000 ; 0.940000 [,[0.915000 ; 0.943000 [,[0.453734 ; 0.602688 [,[0.570930 ; 0.625581 [,[0.634146 ; 0.817073 [,[0.357851 ; 0.453719 [,[0.332877 ; 0.364797 [,[0.363636 ; 0.545455 [,[0.000000 ; 0.222222 [,[0.000000 ; 0.258065 [,[0.121951 ; 0.390244 [
[24.250000 ; 25.750000 [,[-1.250000 ; 0.250000 [,[0.694463 ; 1.000000 ],[0.486405 ; 0.515340 [,[0.000000 ; 0.039293 [,[ 0.0],[0.727467 ; 0.811496 [,[0.694770 ; 0.763758 [,[0.681579 ; 1.000000 ],[0.293705 ; 0.355617 [,[0.000000 ; 0.000377 [,[0.806112 ; 0.863011 [,[0.576720 ; 0.617639 [,[0.659261 ; 0.722443 [,[0.161560 ; 0.195514 [,[0.000000 ; 0.056241 [,[0.919832 ; 1.000000 ],[0.736214 ; 1.000000 ],[0.690579 ; 1.000000 ],[0.364123 ; 0.420353 [,[0.000000 ; 0.051127 [,[0.769898 ; 0.849612 [,[0.560464 ; 0.597759 [,[0.535836 ; 0.546075 [,[0.424063 ; 0.469583 [,[0.422809 ; 0.446146 [,[0.430185 ; 0.537222 [,[0.487680 ; 0.604770 [,[0.413404 ; 0.430989 [,[0.403964 ; 0.421740 [,[0.743510 ; 0.788162 [,[0.793814 ; 0.796907 [,[0.357934 ; 0.363838 [,[0.522911 ; 0.654987 [,[0.388430 ; 0.429752 [,[0.582524 ; 0.776699 [,[0.918000 ; 0.940000 [,[0.915000 ; 0.943000 [,[0.453734 ; 0.602688 [,[0.570930 ; 0.625581 [,[0.634146 ; 0.817073 [,[0.357851 ; 0.453719 [,[0.332877 ; 0.364797 [,[0.363636 ; 0.545455 [,[0.000000 ; 0.222222 [,[0.000000 ; 0.258065 [,[0.121951 ; 0.390244 [
[24.250000 ; 25.750000 [,[-1.250000 ; 0.250000 [,[0.694463 ; 1.000000 ],[0.434950 ; 0.486405 [,[0.000000 ; 0.039293 [,[ 0.0],[0.644192 ; 0.727467 [,[0.763758 ; 0.821746 [,[0.681579 ; 1.000000 ],[0.245574 ; 0.293705 [,[0.000000 ; 0.000377 [,[0.806112 ; 0.863011 [,[0.617639 ; 0.671039 [,[0.659261 ; 0.722443 [,[0.109845 ; 0.161560 [,[0.000000 ; 0.056241 [,[0.919832 ; 1.000000 ],[0.736214 ; 1.000000 ],[0.690579 ; 1.000000 ],[0.319574 ; 0.364123 [,[0.000000 ; 0.051127 [,[0.769898 ; 0.849612 [,[0.597759 ; 0.646506 [,[0.535836 ; 0.546075 [,[0.424063 ; 0.469583 [,[0.422809 ; 0.446146 [,[0.430185 ; 0.537222 [,[0.487680 ; 0.604770 [,[0.413404 ; 0.430989 [,[0.403964 ; 0.421740 [,[0.743510 ; 0.788162 [,[0.793814 ; 0.796907 [,[0.357934 ; 0.363838 [,[0.522911 ; 0.654987 [,[0.388430 ; 0.429752 [,[0.582524 ; 0.776699 [,[0.918000 ; 0.940000 [,[0.915000 ; 0.943000 [,[0.453734 ; 0.602688 [,[0.570930 ; 0.625581 [,[0.634146 ; 0.817073 [,[0.357851 ; 0.453719 [,[0.332877 ; 0.364797 [,[0.363636 ; 0.545455 [,[0.000000 ; 0.222222 [,[0.000000 ; 0.258065 [,[0.121951 ; 0.390244 [
[24.250000 ; 25.750000 [,[0.250000 ; 1.750000 [,[0.646369 ; 0.694463 [,[0.366860 ; 0.434950 [,[0.000000 ; 0.039293 [,[ 0.0],[0.727467 ; 0.811496 [,[0.694770 ; 0.763758 [,[0.630369 ; 0.681579 [,[0.204775 ; 0.245574 [,[0.000000 ; 0.000377 [,[0.806112 ; 0.863011 [,[0.617639 ; 0.671039 [,[0.659261 ; 0.722443 [,[0.000000 ; 0.109845 [,[0.000000 ; 0.056241 [,[0.919832 ; 1.000000 ],[0.736214 ; 1.000000 ],[0.643347 ; 0.690579 [,[0.271687 ; 0.319574 [,[0.000000 ; 0.051127 [,[0.769898 ; 0.849612 [,[0.597759 ; 0.646506 [,[0.535836 ; 0.546075 [,[0.424063 ; 0.469583 [,[0.422809 ; 0.446146 [,[0.430185 ; 0.537222 [,[0.487680 ; 0.604770 [,[0.413404 ; 0.430989 [,[0.403964 ; 0.421740 [,[0.743510 ; 0.788162 [,[0.793814 ; 0.796907 [,[0.357934 ; 0.363838 [,[0.522911 ; 0.654987 [,[0.388430 ; 0.429752 [,[0.582524 ; 0.776699 [,[0.918000 ; 0.940000 [,[0.915000 ; 0.943000 [,[0.453734 ; 0.602688 [,[0.570930 ; 0.625581 [,[0.634146 ; 0.817073 [,[0.357851 ; 0.453719 [,[0.332877 ; 0.364797 [,[0.363636 ; 0.545455 [,[0.000000 ; 0.222222 [,[0.000000 ; 0.258065 [,[0.121951 ; 0.390244 [
[24.250000 ; 25.750000 [,[0.250000 ; 1.750000 [,[0.646369 ; 0.694463 [,[0.366860 ; 0.434950 [,[0.000000 ; 0.039293 [,[ 0.0],[0.644192 ; 0.727467 [,[0.694770 ; 0.763758 [,[0.630369 ; 0.681579 [,[0.141206 ; 0.204775 [,[0.000000 ; 0.000377 [,[0.806112 ; 0.863011 [,[0.617639 ; 0.671039 [,[0.659261 ; 0.722443 [,[0.000000 ; 0.109845 [,[0.000000 ; 0.056241 [,[0.919832 ; 1.000000 ],[0.736214 ; 1.000000 ],[0.690579 ; 1.000000 ],[0.216602 ; 0.271687 [,[0.000000 ; 0.051127 [,[0.769898 ; 0.849612 [,[0.597759 ; 0.646506 [,[0.535836 ; 0.546075 [,[0.424063 ; 0.469583 [,[0.422809 ; 0.446146 [,[0.430185 ; 0.537222 [,[0.487680 ; 0.604770 [,[0.413404 ; 0.430989 [,[0.403964 ; 0.421740 [,[0.743510 ; 0.788162 [,[0.793814 ; 0.796907 [,[0.357934 ; 0.363838 [,[0.522911 ; 0.654987 [,[0.388430 ; 0.429752 [,[0.582524 ; 0.776699 [,[0.918000 ; 0.940000 [,[0.915000 ; 0.943000 [,[0.453734 ; 0.602688 [,[0.570930 ; 0.625581 [,[0.634146 ; 0.817073 [,[0.357851 ; 0.453719 [,[0.332877 ; 0.364797 [,[0.363636 ; 0.545455 [,[0.000000 ; 0.222222 [,[0.000000 ; 0.258065 [,[0.121951 ; 0.390244 [
[24.250000 ; 25.750000 [,[0.250000 ; 1.750000 [,[0.646369 ; 0.694463 [,[0.300659 ; 0.366860 [,[0.000000 ; 0.039293 [,[ 0.0],[0.727467 ; 0.811496 [,[0.763758 ; 0.821746 [,[0.630369 ; 0.681579 [,[0.000000 ; 0.141206 [,[0.000000 ; 0.000377 [,[0.806112 ; 0.863011 [,[0.671039 ; 0.731110 [,[0.659261 ; 0.722443 [,[0.000000 ; 0.109845 [,[0.000000 ; 0.056241 [,[0.919832 ; 1.000000 ],[0.736214 ; 1.000000 ],[0.643347 ; 0.690579 [,[0.216602 ; 0.271687 [,[0.000000 ; 0.051127 [,[0.769898 ; 0.849612 [,[0.710941 ; 1.000000 ],[0.740614 ; 0.817406 [,[0.254167 ; 0.306771 [,[0.263464 ; 0.295671 [,[0.000000 ; 0.229815 [,[0.000000 ; 0.251331 [,[0.205292 ; 0.206536 [,[0.176577 ; 0.212364 [,[0.363448 ; 0.384216 [,[0.368557 ; 0.386598 [,[0.330258 ; 0.357934 [,[0.238544 ; 0.309973 [,[0.247934 ; 0.268595 [,[0.000000 ; 0.097087 [,[0.000000 ; 0.392500 [,[0.447500 ; 0.465000 [,[0.000000 ; 0.139857 [,[0.455814 ; 0.499112 [,[0.000000 ; 0.336909 [,[0.000000 ; 0.004132 [,[0.000000 ; 0.011400 [,[0.000000 ; 0.363636 [,[0.222222 ; 0.355556 [,[0.258065 ; 0.419355 [,[0.000000 ; 0.121951 [
[24.250000 ; 25.750000 [,[1.750000 ; 3.250000 [,[0.646369 ; 0.694463 [,[0.300659 ; 0.366860 [,[0.000000 ; 0.039293 [,[ 0.0],[0.644192 ; 0.727467 [,[0.821746 ; 1.000000 ],[0.630369 ; 0.681579 [,[0.000000 ; 0.141206 [,[0.000000 ; 0.000377 [,[0.806112 ; 0.863011 [,[0.731110 ; 1.000000 ],[0.659261 ; 0.722443 [,[0.000000 ; 0.109845 [,[0.000000 ; 0.056241 [,[0.919832 ; 1.000000 ],[0.736214 ; 1.000000 ],[0.643347 ; 0.690579 [,[0.152652 ; 0.216602 [,[0.000000 ; 0.051127 [,[0.769898 ; 0.849612 [,[0.710941 ; 1.000000 ],[0.740614 ; 0.817406 [,[0.254167 ; 0.306771 [,[0.263464 ; 0.295671 [,[0.000000 ; 0.229815 [,[0.000000 ; 0.251331 [,[0.205292 ; 0.206536 [,[0.176577 ; 0.212364 [,[0.363448 ; 0.384216 [,[0.368557 ; 0.386598 [,[0.330258 ; 0.357934 [,[0.238544 ; 0.309973 [,[0.247934 ; 0.268595 [,[0.000000 ; 0.097087 [,[0.000000 ; 0.392500 [,[0.447500 ; 0.465000 [,[0.000000 ; 0.139857 [,[0.455814 ; 0.499112 [,[0.000000 ; 0.336909 [,[0.000000 ; 0.004132 [,[0.000000 ; 0.011400 [,[0.000000 ; 0.363636 [,[0.222222 ; 0.355556 [,[0.258065 ; 0.419355 [,[0.000000 ; 0.121951 [
[24.250000 ; 25.750000 [,[1.750000 ; 3.250000 [,[0.588773 ; 0.646369 [,[0.238492 ; 0.300659 [,[0.000000 ; 0.039293 [,[ 0.0],[0.727467 ; 0.811496 [,[0.694770 ; 0.763758 [,[0.564271 ; 0.630369 [,[0.000000 ; 0.141206 [,[0.000000 ; 0.000377 [,[0.806112 ; 0.863011 [,[0.671039 ; 0.731110 [,[0.597635 ; 0.659261 [,[0.000000 ; 0.109845 [,[0.000000 ; 0.056241 [,[0.919832 ; 1.000000 ],[0.736214 ; 1.000000 ],[0.580902 ; 0.643347 [,[0.152652 ; 0.216602 [,[0.000000 ; 0.051127 [,[0.769898 ; 0.849612 [,[0.710941 ; 1.000000 ],[0.740614 ; 0.817406 [,[0.254167 ; 0.306771 [,[0.263464 ; 0.295671 [,[0.000000 ; 0.229815 [,[0.000000 ; 0.251331 [,[0.205292 ; 0.206536 [,[0.176577 ; 0.212364 [,[0.363448 ; 0.384216 [,[0.368557 ; 0.386598 [,[0.330258 ; 0.357934 [,[0.238544 ; 0.309973 [,[0.247934 ; 0.268595 [,[0.000000 ; 0.097087 [,[0.000000 ; 0.392500 [,[0.447500 ; 0.465000 [,[0.000000 ; 0.139857 [,[0.455814 ; 0.499112 [,[0.000000 ; 0.336909 [,[0.000000 ; 0.004132 [,[0.000000 ; 0.011400 [,[0.000000 ; 0.363636 [,[0.222222 ; 0.355556 [,[0.258065 ; 0.419355 [,[0.000000 ; 0.121951 [
[24.250000 ; 25.750000 [,[1.750000 ; 3.250000 [,[0.461397 ; 0.525355 [,[0.238492 ; 0.300659 [,[0.000000 ; 0.039293 [,[ 0.0],[0.644192 ; 0.727467 [,[0.497644 ; 0.558285 [,[0.501334 ; 0.564271 [,[0.000000 ; 0.141206 [,[0.000000 ; 0.000377 [,[0.722402 ; 0.806112 [,[0.388229 ; 0.450531 [,[0.470795 ; 0.534425 [,[0.000000 ; 0.109845 [,[0.000000 ; 0.056241 [,[0.839594 ; 0.919832 [,[0.492045 ; 0.530368 [,[0.452681 ; 0.519471 [,[0.152652 ; 0.216602 [,[0.000000 ; 0.051127 [,[0.661682 ; 0.769898 [,[0.482859 ; 0.517520 [,[0.686007 ; 0.740614 [,[0.000000 ; 0.254167 [,[0.000000 ; 0.263464 [,[0.000000 ; 0.229815 [,[0.000000 ; 0.251331 [,[0.000000 ; 0.205292 [,[0.000000 ; 0.176577 [,[0.000000 ; 0.363448 [,[0.000000 ; 0.368557 [,[0.000000 ; 0.182103 [,[0.000000 ; 0.238544 [,[0.000000 ; 0.095041 [,[0.000000 ; 0.097087 [,[0.000000 ; 0.392500 [,[0.000000 ; 0.447500 [,[0.172197 ; 0.417892 [,[0.367442 ; 0.455814 [,[0.390244 ; 0.530488 [,[0.000000 ; 0.004132 [,[0.000000 ; 0.011400 [,[0.000000 ; 0.363636 [,[0.222222 ; 0.355556 [,[0.258065 ; 0.419355 [,[0.000000 ; 0.121951 [
[24.250000 ; 25.750000 [,[3.250000 ; 4.250000 [,[0.299635 ; 0.362495 [,[0.000000 ; 0.238492 [,[0.039293 ; 0.189130 [,[ 0.0],[0.557467 ; 0.644192 [,[0.252249 ; 0.392448 [,[0.294778 ; 0.370811 [,[0.000000 ; 0.141206 [,[0.100164 ; 0.181377 [,[0.653748 ; 0.722402 [,[0.000000 ; 0.300296 [,[0.322330 ; 0.401318 [,[0.000000 ; 0.109845 [,[0.056241 ; 0.117549 [,[0.750562 ; 0.794589 [,[0.000000 ; 0.308389 [,[0.305530 ; 0.380863 [,[0.000000 ; 0.152652 [,[0.000000 ; 0.051127 [,[0.584098 ; 0.661682 [,[0.000000 ; 0.231346 [,[0.686007 ; 0.740614 [,[0.000000 ; 0.254167 [,[0.000000 ; 0.263464 [,[0.000000 ; 0.229815 [,[0.000000 ; 0.251331 [,[0.000000 ; 0.205292 [,[0.000000 ; 0.176577 [,[0.000000 ; 0.363448 [,[0.000000 ; 0.368557 [,[0.000000 ; 0.182103 [,[0.000000 ; 0.238544 [,[0.000000 ; 0.095041 [,[0.000000 ; 0.097087 [,[0.000000 ; 0.392500 [,[0.000000 ; 0.447500 [,[0.172197 ; 0.417892 [,[0.367442 ; 0.455814 [,[0.390244 ; 0.530488 [,[0.000000 ; 0.004132 [,[0.000000 ; 0.011400 [,[0.000000 ; 0.363636 [,[0.222222 ; 0.355556 [,[0.258065 ; 0.419355 [,[0.000000 ; 0.121951 [
[24.250000 ; 25.750000 [,[3.250000 ; 4.250000 [,[0.157636 ; 0.299635 [,[0.000000 ; 0.238492 [,[0.189130 ; 0.646039 [,[ 0.0],[0.501641 ; 0.557467 [,[0.252249 ; 0.392448 [,[0.000000 ; 0.166764 [,[0.000000 ; 0.141206 [,[0.294318 ; 0.328734 [,[0.564855 ; 0.606264 [,[0.000000 ; 0.300296 [,[0.000000 ; 0.179425 [,[0.000000 ; 0.109845 [,[0.117549 ; 0.193587 [,[0.630469 ; 0.698234 [,[0.308389 ; 0.406427 [,[0.000000 ; 0.159216 [,[0.000000 ; 0.152652 [,[0.000000 ; 0.051127 [,[0.549164 ; 0.584098 [,[0.000000 ; 0.231346 [,[0.686007 ; 0.740614 [,[0.000000 ; 0.254167 [,[0.000000 ; 0.263464 [,[0.000000 ; 0.229815 [,[0.000000 ; 0.251331 [,[0.000000 ; 0.205292 [,[0.000000 ; 0.176577 [,[0.000000 ; 0.363448 [,[0.000000 ; 0.368557 [,[0.000000 ; 0.182103 [,[0.000000 ; 0.238544 [,[0.000000 ; 0.095041 [,[0.000000 ; 0.097087 [,[0.000000 ; 0.392500 [,[0.000000 ; 0.447500 [,[0.172197 ; 0.417892 [,[0.367442 ; 0.455814 [,[0.390244 ; 0.530488 [,[0.000000 ; 0.004132 [,[0.000000 ; 0.011400 [,[0.000000 ; 0.363636 [,[0.222222 ; 0.355556 [,[0.258065 ; 0.419355 [,[0.000000 ; 0.121951 [
[24.250000 ; 25.750000 [,[4.250000 ; 5.750000 [,[0.299635 ; 0.362495 [,[0.000000 ; 0.238492 [,[0.189130 ; 0.646039 [,[ 0.0],[0.501641 ; 0.557467 [,[0.000000 ; 0.252249 [,[0.370811 ; 0.400964 [,[0.141206 ; 0.204775 [,[0.100164 ; 0.181377 [,[0.564855 ; 0.606264 [,[0.000000 ; 0.300296 [,[0.401318 ; 0.429098 [,[0.000000 ; 0.109845 [,[0.117549 ; 0.193587 [,[0.579718 ; 0.630469 [,[0.000000 ; 0.308389 [,[0.380863 ; 0.389269 [,[0.152652 ; 0.216602 [,[0.000000 ; 0.051127 [,[0.518991 ; 0.549164 [,[0.000000 ; 0.231346 [,[0.686007 ; 0.740614 [,[0.000000 ; 0.254167 [,[0.000000 ; 0.263464 [,[0.229815 ; 0.245833 [,[0.251331 ; 0.280899 [,[0.000000 ; 0.205292 [,[0.000000 ; 0.176577 [,[0.000000 ; 0.363448 [,[0.000000 ; 0.368557 [,[0.288822 ; 0.330258 [,[0.431267 ; 0.485175 [,[0.247934 ; 0.268595 [,[0.242718 ; 0.364078 [,[0.000000 ; 0.392500 [,[0.000000 ; 0.447500 [,[0.139857 ; 0.172197 [,[0.000000 ; 0.031395 [,[0.000000 ; 0.336909 [,[0.004132 ; 0.041322 [,[0.011400 ; 0.011970 [,[0.000000 ; 0.363636 [,[0.222222 ; 0.355556 [,[0.258065 ; 0.419355 [,[0.000000 ; 0.121951 [
[24.250000 ; 25.750000 [,[4.250000 ; 5.750000 [,[0.157636 ; 0.299635 [,[0.238492 ; 0.300659 [,[0.039293 ; 0.189130 [,[ 0.0],[0.501641 ; 0.557467 [,[0.000000 ; 0.252249 [,[0.166764 ; 0.294778 [,[0.141206 ; 0.204775 [,[0.039345 ; 0.100164 [,[0.606264 ; 0.653748 [,[0.000000 ; 0.300296 [,[0.179425 ; 0.322330 [,[0.000000 ; 0.109845 [,[0.056241 ; 0.117549 [,[0.630469 ; 0.698234 [,[0.000000 ; 0.308389 [,[0.159216 ; 0.305530 [,[0.152652 ; 0.216602 [,[0.000000 ; 0.051127 [,[0.549164 ; 0.584098 [,[0.000000 ; 0.231346 [,[0.686007 ; 0.740614 [,[0.306771 ; 0.424063 [,[0.422809 ; 0.446146 [,[0.582593 ; 1.000000 ],[0.604770 ; 0.649911 [,[0.405939 ; 0.413404 [,[0.403964 ; 0.421740 [,[0.798546 ; 0.808930 [,[0.803093 ; 0.813402 [,[0.330258 ; 0.357934 [,[0.309973 ; 0.376011 [,[0.330579 ; 0.388430 [,[0.456311 ; 0.582524 [,[0.940000 ; 0.972000 [,[0.950000 ; 0.972000 [,[0.602688 ; 0.710206 [,[0.647674 ; 1.000000 ],[0.990854 ; 1.000000 ],[0.539256 ; 0.562397 [,[0.435477 ; 0.447560 [,[0.863636 ; 1.000000 ],[0.422862 ; 0.488889 [,[0.000000 ; 0.258065 [,[0.487805 ; 0.731707 [
[24.250000 ; 25.750000 [,[4.250000 ; 5.750000 [,[0.000000 ; 0.157636 [,[0.238492 ; 0.300659 [,[0.189130 ; 0.646039 [,[ 0.0],[0.466434 ; 0.501641 [,[0.252249 ; 0.392448 [,[0.000000 ; 0.166764 [,[0.141206 ; 0.204775 [,[0.100164 ; 0.181377 [,[0.564855 ; 0.606264 [,[0.000000 ; 0.300296 [,[0.000000 ; 0.179425 [,[0.000000 ; 0.109845 [,[0.117549 ; 0.193587 [,[0.453544 ; 0.579718 [,[0.406427 ; 0.459510 [,[0.000000 ; 0.159216 [,[0.152652 ; 0.216602 [,[0.000000 ; 0.051127 [,[0.518991 ; 0.549164 [,[0.000000 ; 0.231346 [,[0.740614 ; 0.817406 [,[0.469583 ; 0.512500 [,[0.451373 ; 0.545407 [,[0.430185 ; 0.537222 [,[0.487680 ; 0.604770 [,[0.405939 ; 0.413404 [,[0.403964 ; 0.421740 [,[0.743510 ; 0.788162 [,[0.760825 ; 0.793814 [,[0.363838 ; 0.468635 [,[0.522911 ; 0.654987 [,[0.429752 ; 0.462810 [,[0.582524 ; 0.776699 [,[0.851000 ; 0.918000 [,[0.915000 ; 0.943000 [,[0.453734 ; 0.602688 [,[0.367442 ; 0.455814 [,[0.530488 ; 0.634146 [,[0.202479 ; 0.357851 [,[0.170041 ; 0.332877 [,[0.000000 ; 0.363636 [,[0.222222 ; 0.355556 [,[0.000000 ; 0.258065 [,[0.121951 ; 0.390244 [
[24.250000 ; 25.750000 [,[5.750000 ; 6.750000 [,[0.000000 ; 0.157636 [,[0.238492 ; 0.300659 [,[0.000000 ; 0.039293 [,[ 0.0],[0.439206 ; 0.466434 [,[0.252249 ; 0.392448 [,[0.000000 ; 0.166764 [,[0.141206 ; 0.204775 [,[0.294318 ; 0.328734 [,[0.553009 ; 0.564855 [,[0.300296 ; 0.388229 [,[0.000000 ; 0.179425 [,[0.000000 ; 0.109845 [,[0.117549 ; 0.193587 [,[0.453544 ; 0.579718 [,[0.406427 ; 0.459510 [,[0.000000 ; 0.159216 [,[0.152652 ; 0.216602 [,[0.051127 ; 0.161456 [,[0.474741 ; 0.518991 [,[0.231346 ; 0.366207 [,[0.740614 ; 0.817406 [,[0.469583 ; 0.512500 [,[0.451373 ; 0.545407 [,[0.430185 ; 0.537222 [,[0.487680 ; 0.604770 [,[0.405939 ; 0.413404 [,[0.403964 ; 0.421740 [,[0.743510 ; 0.788162 [,[0.760825 ; 0.793814 [,[0.363838 ; 0.468635 [,[0.522911 ; 0.654987 [,[0.429752 ; 0.462810 [,[0.582524 ; 0.776699 [,[0.851000 ; 0.918000 [,[0.915000 ; 0.943000 [,[0.453734 ; 0.602688 [,[0.367442 ; 0.455814 [,[0.530488 ; 0.634146 [,[0.202479 ; 0.357851 [,[0.170041 ; 0.332877 [,[0.000000 ; 0.363636 [,[0.222222 ; 0.355556 [,[0.000000 ; 0.258065 [,[0.121951 ; 0.390244 [
